id;title;genres;company;score;released_at
boku-no-natsuyasumi-portable-2-nazo-nazo-shimai-to-chinbotsusen-no-himitsu;Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu;Adventure,General;;0;2010-06-24 00:00:00.000000
boku-no-natsuyasumi-portable;Boku no Natsuyasumi Portable;Adventure,General;;0;2006-06-29 00:00:00.000000
boku-wa-koukuu-kanseikan-airport-hero-kankuu;Boku wa Koukuu Kanseikan: Airport Hero Kankuu;Simulation,General;;0;2010-12-09 00:00:00.000000
boku-wa-koukuu-kanseikan-airport-hero-naha;Boku wa Koukuu Kanseikan: Airport Hero Naha;Strategy,General;;0;2006-09-28 00:00:00.000000
boku-wa-koukuu-kanseikan-airport-hero-narita;Boku wa Koukuu Kanseikan: Airport Hero Narita;Simulation,General;;0;2006-06-15 00:00:00.000000
boku-wa-tomodachi-ga-sukunai-portable;Boku wa Tomodachi ga Sukunai Portable;Adventure,General;;0;2012-02-23 00:00:00.000000
bomberman-bakufuu-sentai-bombermen;Bomberman: Bakufuu Sentai Bombermen;Puzzle,Action;;0;2006-03-09 00:00:00.000000
bomberman;Bomberman;Puzzle,Action;Hudson / Konami;73;2006-09-12 00:00:00.000000
bomberman-land;Bomberman Land;Action;Racjin;55;2008-01-29 00:00:00.000000
bomberman-land-portable;Bomberman Land Portable;Miscellaneous,Party / Minigame;Racjin / Hudson Entertainment;55;2008-01-29 00:00:00.000000
bomberman-panic-bomber;Bomberman: Panic Bomber;Puzzle,Stacking;;0;2005-06-23 00:00:00.000000
bounty-hounds;Bounty Hounds;Action,Shooter,Third-Person,Arcade;Xpec / Namco Bandai Games;63;2006-09-13 00:00:00.000000
bounty-hounds;Bounty Hounds;Action;Xpec;63;2006-09-13 00:00:00.000000
boxers-road-2-the-real;Boxer's Road 2: The Real;Sports,Individual,Combat,Boxing / Martial Arts;;0;2006-09-28 00:00:00.000000
brandish-the-dark-revenant;Brandish: The Dark Revenant;Role-Playing,Action RPG;Falcom / XSEED Games;78;2015-01-13 00:00:00.000000
brave-story-new-traveler;Brave Story: New Traveler;Role-Playing,Japanese-Style;Game Republic / XSEED Games;76;2007-07-31 00:00:00.000000
breath-of-fire-3;Breath of Fire III;Role-Playing,Japanese-Style;;0;2016-02-09 00:00:00.000000
brian-lara-2007-pressure-play;Brian Lara 2007 Pressure Play;Sports,Team,Cricket;;0;2007-08-31 00:00:00.000000
brooktown-high;Brooktown High;Simulation,Virtual,Virtual Life;Backbone Entertainment / Konami;51;2007-05-22 00:00:00.000000
brothers-conflict-passion-pink;Brothers Conflict: Passion Pink;Adventure,Visual Novel;;0;2012-05-17 00:00:00.000000
brothers-in-arms-d-day;Brothers in Arms: D-Day;Action,Shooter,First-Person,Arcade;Ubisoft Shanghai / Ubisoft;65;2006-12-05 00:00:00.000000
brunswick-pro-bowling;Brunswick Pro Bowling;Sports,Individual,Bowling;Point of View / Crave;65;2007-08-21 00:00:00.000000
bubble-bobble-evolution;Bubble Bobble Evolution;Puzzle,Matching;Opus / Codemasters;47;2006-12-19 00:00:00.000000
bullet-butlers;Bullet Butlers;Adventure,General;;0;2012-01-26 00:00:00.000000
bunmei-kaika-aoiza-ibunroku;Bunmei Kaika: Aoiza Ibunroku;Adventure,Visual Novel;HuneX / FuRyu;0;2011-08-18 00:00:00.000000
bunmei-kaika-aoiza-ibunroku-saien;Bunmei Kaika: Aoiza Ibunroku Saien;Adventure,Visual Novel;HuneX / FuRyu;0;2012-05-17 00:00:00.000000
burnout-dominator;Burnout Dominator;Driving;Criterion Games;76;2007-03-06 00:00:00.000000
burnout-dominator;Burnout Dominator;Racing,Arcade,Automobile;Criterion Games / Electronic Arts;76;2007-03-06 00:00:00.000000
burnout-legends;Burnout Legends;Racing,Arcade,Automobile;Criterion Games / EA Games;86;2005-09-13 00:00:00.000000
burst-error-eve-the-first;Burst Error: Eve the First;Adventure,Visual Novel;;0;2010-03-25 00:00:00.000000
busou-shinki-battle-masters;Busou Shinki: Battle Masters;Action,General;Pyramid / Konami;0;2010-07-15 00:00:00.000000
busou-shinki-battle-masters-mk-2;Busou Shinki: Battle Masters Mk. 2;Action,General;;0;2011-09-22 00:00:00.000000
bust-a-move-deluxe;Bust-A-Move Deluxe;Puzzle,Matching;Taito Corporation / Majesco;67;2006-04-04 00:00:00.000000
buzz-brain-bender;Buzz! Brain Bender;Miscellaneous,Trivia / Game Show;Curve Studios / SCEE;0;2008-11-28 00:00:00.000000
buzz-brain-of-the-uk;Buzz! Brain Of The UK;Miscellaneous,Trivia / Game Show;Curve Studios / SCEE;0;2009-02-13 00:00:00.000000
buzz-master-quiz;Buzz! Master Quiz;Miscellaneous,Trivia / Game Show;Relentless Software / SCEA;68;2008-09-23 00:00:00.000000
buzz-quiz-world;Buzz! Quiz World;Miscellaneous,Trivia / Game Show;Curve Studios / SCEA;62;2009-12-17 00:00:00.000000
buzz-the-ultimate-music-quiz;Buzz! The Ultimate Music Quiz;Miscellaneous,Trivia / Game Show;;0;2011-01-14 00:00:00.000000
cabelas-african-safari;Cabela's African Safari;Sports,Individual,Nature,Hunting;FUN Labs / Activision Value;76;2006-10-17 00:00:00.000000
cabelas-dangerous-hunts-ultimate-challenge;Cabela's Dangerous Hunts Ultimate Challenge;Sports,Individual,Nature,Hunting;Sand Grain Studios / Activision;55;2006-04-04 00:00:00.000000
cabelas-legendary-adventures;Cabela's Legendary Adventures;Sports,Individual,Nature,Hunting;Sand Grain Studios / Activision;0;2008-09-09 00:00:00.000000
cabelas-north-american-adventures;Cabela's North American Adventures;Sports,Individual,Nature,Hunting;FUN Labs / Activision;0;2010-09-14 00:00:00.000000
cake-mania-bakers-challenge;Cake Mania: Baker's Challenge;Puzzle,General;Coresoft / Destineer;70;2008-10-23 00:00:00.000000
call-of-duty-roads-to-victory;Call of Duty: Roads to Victory;Action,Shooter,First-Person,Arcade;Amaze Entertainment / Activision;64;2007-03-13 00:00:00.000000
call-of-duty-roads-to-victory;Call of Duty: Roads to Victory;Action,Shooter,Third-Person;Amaze Entertainment / Activision;64;2007-03-13 00:00:00.000000
